Column 01,Column 02,Column 03,Column 04,Column 05,Column 06,Column 07
subid,long,lat,description,Proposed label,Notes by Hannah,final
139,-89.3841,43.07497,farmer’s market,public community spaces,community space / recreation,community space / recreation
187,-89.4214,43.05984,farmers market,public community spaces,community space / recreation,community space / recreation
166,-82.1476,28.01495,festival,public community spaces,public drinking space,public drinking space
80,-87.6172,41.79942,film colleague,,,
167,-89.3997,43.06201,fishing,public community spaces,community space / recreation,community space / recreation
90,-89.3758,43.07505,fishing spot,public community spaces,community space / recreation,community space / recreation
90,-89.3307,43.02913,fishing spot,public community spaces,community space / recreation,community space / recreation
54,-89.4917,45.91437,flea market,errands,,errands
231,-89.3993,43.07459,food carts,public community spaces,community space / recreation,community space / recreation
139,-89.3533,43.12845,food pantry,public community spaces,community space / recreation,community space / recreation
32,-89.382,43.07488,frequent bus stop,travel stop,,travel stop
19,-89.4075,43.06823,friend of a friend,others' home,,others' home
128,-90.2152,38.60798,friend of a friend’s place,others' home,,others' home
81,-89.635,42.8162,friend’s thrift store,errands,,errands
6,-89.4068,43.07496,friend’s work uw medical,public community spaces,errands,errands
54,-89.711,45.87105,fudge shop,errands,,errands
99,-89.7197,43.27874,funeral home,public community spaces,community space / recreation,community space / recreation
179,-89.122,44.35425,funeral home,public community spaces,community space / recreation,community space / recreation
265,-91.4384,44.79672,funeral home,public community spaces,community space / recreation,community space / recreation
158,-89.2986,43.12904,furniture,errands,,errands
37,-89.4166,43.03688,furniture store,errands,,errands
25,-81.028,29.22172,future home (son),others' home,,others' home
189,-89.3659,43.08555,gallery,public community spaces,community space / recreation,community space / recreation
231,-70.7576,43.07853,gallery,public community spaces,community space / recreation,community space / recreation
240,-89.3964,43.07507,gamestop,errands,,errands
225,-89.365,43.04447,garage sale,errands,,errands
225,-89.3664,43.04419,garage sale,errands,,errands
39,-89.3557,43.13219,gas station,errands,,errands
78,-89.8063,43.58857,gas station,errands,,errands
78,-89.7973,43.58886,gas station,errands,,errands
78,-89.7672,43.46041,gas station,errands,,errands
88,-89.7347,43.29357,gas station,errands,,errands
191,-88.9819,43.18497,gas station,errands,,errands
191,-89.0694,43.16918,gas station,errands,,errands
191,-88.91,43.09066,gas station,errands,,errands
85,-89.3848,42.92577,gift shop,errands,,errands
218,-88.0779,42.94414,girlfriend’s dad’s house,others' home,,others' home
218,-89.4045,43.07153,girlfriends work,,errands,errands
29,-89.2052,43.20169,girls gymnastics,recovery and health,errands,errands
29,-89.2052,43.20169,girls gymnastics,recovery and health,errands,errands
58,-89.4401,43.04161,golf club -> swim meet,recovery and health,community space / recreation,community space / recreation
31,-81.6288,26.01047,golf course,recovery and health,community space / recreation,community space / recreation
56,-87.9133,42.85696,golf course,recovery and health,community space / recreation,community space / recreation
130,-89.3258,43.06898,golf course,recovery and health,community space / recreation,community space / recreation
130,-89.231,43.08274,golf course,recovery and health,community space / recreation,community space / recreation
130,-89.2578,43.04311,golf course,recovery and health,community space / recreation,community space / recreation
130,-89.4739,43.04537,golf course,recovery and health,community space / recreation,community space / recreation
130,-89.3456,43.11148,golf course,recovery and health,community space / recreation,community space / recreation
130,-89.2624,43.04246,golf course,recovery and health,community space / recreation,community space / recreation
130,-89.9149,43.00964,golf course,recovery and health,community space / recreation,community space / recreation
84,-89.3631,43.12858,goodwill,errands,,errands
232,-89.2426,42.91958,goodwill,errands,,errands
33,-88.8608,42.94124,goodwill thrift store,errands,,errands
85,-89.3824,42.9414,graveyard,public community spaces,community space / recreation,community space / recreation
223,-89.3978,43.07295,grocery store,errands,,errands
131,-89.4168,43.06488,hair,errands,,errands
97,-89.4706,43.57034,hair cuts,errands,,errands
81,-89.3753,42.60603,hair salon,errands,,errands
167,-89.3241,43.0482,haircut,errands,,errands
255,-89.3756,43.08517,haircut,errands,,errands
43,-89.1231,43.22872,helping a friend,,errands,errands
59,-89.378,43.07861,hobby,,community space / recreation,community space / recreation
97,-89.4463,43.53628,home of co-worker,others' home,,others' home
224,-88.0116,42.09199,horse race track,public community spaces,public drinking space,public drinking space
29,-89.2454,43.11317,horse stable,public community spaces,community space / recreation,community space / recreation
29,-89.2454,43.11317,horse stable,public community spaces,community space / recreation,community space / recreation
15,-89.4031,43.059,hospital,recovery and health,,recovery and health
66,-89.4319,43.07632,hospital,recovery and health,,recovery and health
80,-89.4017,43.06488,hospital,recovery and health,,recovery and health
6,-77.0749,38.89183,hotel,temporary residence,,temporary residence
16,-117.167,32.71752,hotel,temporary residence,,temporary residence
16,-89.4128,43.06753,hotel,temporary residence,,temporary residence
