subid,context_id,long,lat,description,final
240,4908,-89.3963,43.07507,gamestop,errands
240,4903,-89.3863,43.0744,camera store,errands
241,4956,-89.3618,43.1129,ups store,errands
242,5025,-89.453,43.07334,boutique,errands
243,5053,-89.3501,43.12757,kids camp,errands
245,5062,-89.2943,42.91873,sons horseback riding,errands
245,5065,-89.2773,43.02611,sons education,errands
248,5091,-89.3698,43.08523,jiffy lube,errands
248,5109,-89.496,43.02444,childcare,errands
252,5135,-89.4087,43.06796,ups store,errands
252,5110,-89.3737,43.07707,childcare,errands
252,5147,-89.4781,43.0099,primary vet,errands
255,5146,-89.4003,43.06129,secondary vet,errands
255,5145,-89.3756,43.08517,haircut,errands
262,5251,-89.368,42.91616,vet,errands
263,5288,-89.4992,43.09676,coin shop and jewelers,errands
264,5307,-89.2966,43.09471,kidâ€™s school,errands
268,5380,-89.4989,43.01622,video store,errands
269,5364,-89.498,43.01369,pick n save,errands
269,5385,-89.3944,43.04282,auto shop (husbands work),errands
1,11,-89.3421,43.06379,monona library,library
7,124,-89.4503,43.05387,library,library
11,222,-89.4013,43.07676,library,library
11,229,-89.3993,43.07459,library,library
11,199,-89.3873,43.07346,library,library
19,388,-88.4577,44.185,library,library
27,589,-89.0175,43.00288,library,library
30,700,-89.3462,43.10159,library,library
32,796,-89.3945,43.0415,library,library
32,787,-89.3873,43.07346,library,library
39,967,-89.3873,43.07346,library,library
47,1195,-89.4152,43.06593,library,library
47,1197,-89.3873,43.07346,library,library
48,1236,-89.3462,43.10159,library,library
52,1273,-89.363,43.12769,library,library
52,1274,-89.3462,43.10159,library,library
54,1362,-89.5338,42.85824,library,library
58,1471,-89.5093,43.09498,library,library
74,1670,-89.342,43.24702,library,library
76,1687,-89.3993,43.07459,library,library
76,1680,-89.2881,43.01356,library,library
77,1745,-89.324,43.08448,library,library
82,1890,-89.3873,43.07346,library,library
84,1901,-89.363,43.12769,library,library
85,1921,-89.3815,42.92597,library,library
97,2180,-89.4628,43.53848,library,library
103,2315,-89.2182,42.91649,library,library
104,2337,-89.3462,43.10159,library,library
117,2531,-87.2788,45.05147,library,library
119,2625,-89.3873,43.07346,library,library
121,2637,-89.3462,43.10159,library,library
131,2806,-89.5289,42.99615,library,library
137,2874,-89.4134,43.07611,library,library
138,2908,-89.3945,43.0415,library,library
139,2905,-89.3873,43.07346,library,library
150,3041,-89.3945,43.0415,library,library
156,3064,-89.3873,43.07346,library,library
161,3104,-89.019,42.67913,library,library
166,3199,-89.0757,43.05451,library,library
169,3410,-89.3228,43.08331,library,library
172,3440,-89.3462,43.10159,library,library
175,3521,-89.3462,43.10159,library,library
180,3650,-89.3873,43.07346,library,library
187,3726,-89.3622,43.12767,library,library
193,4006,-89.3873,43.07346,library,library
196,4007,-89.3462,43.10159,library,library
201,4152,-89.363,43.12769,library,library
207,4222,-89.4013,43.07676,library,library
222,4533,-89.4791,43.03246,library,library
222,4502,-89.2182,42.91649,library,library
225,4706,-89.2881,43.01356,library,library
225,4640,-89.2356,43.17565,library,library
225,4689,-89.2182,42.91649,library,library
232,4812,-89.3945,43.0415,library,library
240,4931,-89.3993,43.07459,library,library
252,5130,-89.3945,43.0415,library,library
18,350,-89.283,43.08807,rehab - family member,family
18,349,-89.2819,43.08716,rehab - family member,family
19,399,-89.4075,43.06823,friend of a friend,friend
25,557,-81.028,29.22172,future home (son),family
48,1203,-89.3441,43.09694,s.o. house,family
79,1789,-89.4033,43.13167,old housing,friend
81,1867,-89.5355,42.84406,daughterâ€™s boyfriendâ€™s home,friend
92,2095,-89.3832,43.04146,ex-girlfriendâ€™s house,friend
97,2198,-89.4463,43.53628,home of co-worker,friend
121,2665,-90.2152,38.60798,friend of a friendâ€™s place,friend
161,3168,-89.467,42.92887,neighbor,friend
180,3610,-89.4929,43.10968,neighbors,friend
183,3669,-89.3339,43.09957,estranged spouseâ€™s home,friend
187,3751,-89.4726,43.07944,kids grandmas house,family
190,3892,-89.8352,44.22009,partners property,family
191,3891,-89.7872,44.1999,partners property,family
191,3890,-89.7864,44.19977,partners property,family
200,4091,-88.7843,43.44414,ex-boyfriendâ€™s home,friend
218,4448,-88.0779,42.94414,girlfriendâ€™s dadâ€™s house,friend
222,4514,-89.2357,42.91866,childhood home -> family does not live there now just visiting,friend
240,4911,-89.188,44.28856,dadâ€™s cabin,friend
241,4989,-89.3579,43.09405,sig others dads apt,family
242,4991,-89.3385,43.10919,boyfriendâ€™s fatherâ€™s home,family
242,4997,-89.2116,43.20155,boyfriendâ€™s dadâ€™s house,family
262,5253,-89.299,43.11717,coworkerâ€™s house,friend
262,5250,-89.0787,43.05038,coworkerâ€™s house,friend
262,5276,-89.3927,43.07253,bosses house,friend
265,5332,-104.9952,39.5642,ex boyfriendâ€™s house,friend
48,1245,-89.3824,43.07659,hotel (brotherâ€™s temp. residence),family
2,47,-89.3526,43.11112,little league field,community space / recreation
6,100,-89.4108,43.05807,beach / park,community space / recreation
6,105,-87.8751,43.06084,beach,community space / recreation
10,173,-89.3841,43.07497,state capitol lawn / farmerâ€™s market,community space / recreation
20,415,-89.7688,43.57097,cycling (kalahari),community space / recreation
31,750,-81.7341,25.93866,beach,community space / recreation
31,760,-81.7291,25.93071,beach,community space / recreation
44,1184,-155.726,20.19531,beach,community space / recreation
56,1403,-89.7918,43.61402,dells,community space / recreation
56,1420,-89.7847,43.61899,dells,community space / recreation
58,1476,-80.7566,32.18522,kayak,community space / recreation
88,2025,-89.3841,43.07497,concerts & farmerâ€™s market,community space / recreation
92,2102,-88.7826,44.19063,lake / river / boating,community space / recreation
99,2240,-89.3722,43.12391,boat launch,community space / recreation
110,2470,-89.3824,43.07373,farmerâ€™s market,community space / recreation
139,2886,-89.3841,43.07497,farmerâ€™s market,community space / recreation
172,3488,-89.5104,42.96088,dog park,community space / recreation
180,3638,-82.1915,26.52478,boat rental,community space / recreation
187,3756,-89.4214,43.05984,farmers market,community space / recreation
6,108,-89.4092,43.07308,library cafe & bar,public drinking space
6,116,-89.4,43.07626,memorial union terrace,public drinking space
6,99,-89.3848,43.07244,concert,public drinking space
6,97,-87.7946,41.86516,music fest,public drinking space
19,369,-89.3809,43.07438,concert venue,public drinking space
19,370,-87.8876,43.07047,concert venue,public drinking space
19,387,-87.6899,41.91873,concert venue,public drinking space
23,488,-89.3969,43.06935,"large venue, concerts / sporting",public drinking space
25,539,-89.2926,43.12635,bowling alley,public drinking space
44,1168,-89.3887,43.07495,concert venue,public drinking space
44,1167,-89.3809,43.07438,concert venue,public drinking space
48,1228,-89.5055,43.05567,dave & busterâ€™s games/arcade,public drinking space
48,1231,-89.3304,43.08787,beer garden @ olbrich park,public drinking space
48,1223,-87.9712,43.02798,ball park,public drinking space
56,1422,-87.7593,43.71593,wedding location,public drinking space
76,1705,-89.3731,43.08338,concert,public drinking space
79,1800,-89.4109,43.07001,camp randall,public drinking space
86,1999,-89.3745,43.08059,concert venue,public drinking space
86,1979,-87.6231,41.87588,event lalapalooza,public drinking space
88,2023,-89.4,43.07626,concerts,public drinking space
88,2020,-89.3805,43.07125,concerts,public drinking space
88,2021,-89.378,43.07861,comedy club,public drinking space
88,2022,-89.3413,43.09402,comedy club,public drinking space
88,2039,-88.0611,44.50117,packer game,public drinking space
104,2341,-89.2926,43.12635,bowling alley,public drinking space
118,2551,-73.9377,40.69321,club,public drinking space
137,2883,-89.3701,43.0795,music venue,public drinking space
139,2918,-89.2427,43.17509,bowling alley,public drinking space
158,3075,-87.9172,43.04497,bucks,public drinking space
166,3217,-82.1476,28.01495,festival,public drinking space
175,3483,-87.9109,43.03895,concert venue,public drinking space
183,3682,-87.9172,43.04497,bucks,public drinking space
207,4264,-93.1733,44.98169,fairgrounds/music festival,public drinking space
208,4288,-89.3747,43.08089,music venue,public drinking space
212,4334,-89.375,43.0767,music venue/club,public drinking space
213,4333,-89.3598,43.1114,club,public drinking space
224,4595,-88.0116,42.09199,horse race track,public drinking space
234,4824,-89.3902,43.07536,interstate plasma,public drinking space
240,4976,-89.3756,43.08213,venue,public drinking space
243,5037,-87.9712,43.02798,miller park,public drinking space
248,5074,-89.3809,43.07438,music venue,public drinking space
248,5077,-89.3764,43.07979,music venue,public drinking space
248,5123,-89.7377,42.95063,wedding,public drinking space
259,5205,-89.398,43.07391,concert,public drinking space
259,5206,-89.3969,43.06935,sporting events,public drinking space
259,5261,-89.3969,43.06935,kohl center,public drinking space
270,5402,-86.2369,39.78746,indie 500,public drinking space
11,218,-89.4,43.07626,union terrace,public drinking spaces
15,236,-87.9713,43.02874,brewers vs.Â pirates game with 50 friends & family members,public drinking spaces
20,430,-89.7752,43.52857,casino,public drinking spaces
37,916,-89.4006,43.07639,terrace,public drinking spaces
109,2385,-89.2721,43.03945,casino,public drinking spaces
178,3506,-89.2115,43.18285,brewery,public drinking spaces
183,3680,-87.9349,43.03021,casino,public drinking spaces
189,3860,-89.2721,43.03945,casino,public drinking spaces
191,3906,-89.2721,43.03945,casino,public drinking spaces
192,4000,-89.4,43.07626,union terrace,public drinking spaces
240,4916,-89.4,43.07626,union terrace,public drinking spaces
248,5080,-89.4,43.07626,union terrace/music etc,public drinking spaces
15,271,-89.4031,43.059,hospital,healthcare
32,808,-89.3489,43.12631,social service - help w/ disability app,recovery and health
39,959,-89.4611,43.53906,reiki,recovery and health
42,1094,-89.3978,43.05504,counselor,recovery and health
43,1104,-89.2958,43.05823,reintegration counseling,recovery and health
52,1276,-89.4808,43.04872,journey,recovery and health
66,1629,-89.4319,43.07632,hospital,healthcare
66,1632,-89.4038,43.13118,rehab,recovery and health
66,1618,-89.3953,43.04064,meet with social worker office,recovery and health
66,1619,-89.3243,43.12007,reg drug test (clinic),recovery and health
79,1781,-89.458,43.0399,sober living interview,recovery and health
80,1838,-89.4017,43.06488,hospital,healthcare
88,2010,-89.7192,43.28229,counselor,recovery and health
93,2124,-89.2354,42.34647,yoga retreat,recovery and health
119,2620,-89.3589,43.09109,meditation space - weekly,recovery and health
139,2897,-89.3664,43.12528,case worker,recovery and health
150,3034,-89.4014,43.04242,sober living meet up,recovery and health
163,3186,-89.3844,42.92574,dentist,healthcare
192,3921,-89.466,43.07492,connections counseling,recovery and health
196,4053,-89.3999,43.06701,pharmacy,healthcare
207,4216,-89.4054,43.07299,meditation,recovery and health
211,4318,-89.3971,43.0543,meditation center,recovery and health
221,4492,-89.503,43.04354,counseling,recovery and health
221,4493,-89.4926,43.05961,dbt counseling,recovery and health
223,4623,-89.496,43.0614,spa,recovery and health
234,4853,-89.6078,43.44627,therapist,recovery and health
243,5052,-89.3419,43.04767,drug testing,recovery and health
252,5122,-89.4908,43.05384,spa,recovery and health
31,737,-89.4219,43.15555,school,school
31,736,-89.4181,43.17636,school,school
