job_num,n_fold,n_repeat,algorithm,rec,accuracy,sens,spec,bal_accuracy,roc_auc
54,4,6,glmnet,rec_active,0.728460793804453,0.3356164383561644,0.7583333333333333,0.5469748858447488,0.6286601027397261
55,5,6,glmnet,rec_active,0.8598484848484849,0.3770491803278688,0.8742077035592394,0.625628441943554,0.6294850173046335
56,6,6,glmnet,rec_active,0.7639344262295082,0.3503184713375796,0.8027495517035266,0.5765340115205531,0.5981226752353794
57,7,6,glmnet,rec_active,0.7448694029850746,0.2653061224489796,0.7560859188544152,0.5106960206516974,0.4835565729871901
58,8,6,glmnet,rec_active,0.6410256410256411,0.3949579831932773,0.6573660714285714,0.5261620273109243,0.612373855792317
59,9,6,glmnet,rec_active,0.746077032810271,0.2727272727272727,0.7694610778443114,0.521094175285792,0.576972317990282
60,10,6,glmnet,rec_active,0.7931937172774869,0.48,0.8198863636363637,0.6499431818181818,0.7356022727272727
61,1,7,glmnet,rec_active,0.7792022792022792,0.18487394957983191,0.8147961751383996,0.4998350623591158,0.5407924619268946
62,2,7,glmnet,rec_active,0.5195043597980725,0.4943820224719101,0.5205741626794258,0.5074780925756679,0.5267808182355788
63,3,7,glmnet,rec_active,0.7858596134282808,0.5172413793103449,0.8027027027027027,0.6599720410065237,0.6910181733457595
64,4,7,glmnet,rec_active,0.7422779922779923,0.5727272727272728,0.7517838939857289,0.6622555833565008,0.6904318413492726
65,5,7,glmnet,rec_active,0.710997442455243,0.4931506849315068,0.728579325594251,0.6108650052628789,0.6386257449434714
66,6,7,glmnet,rec_active,0.6844583987441131,0.5747126436781609,0.6896929824561403,0.6322028130671506,0.6823956442831216
67,7,7,glmnet,rec_active,0.7369146005509641,0.32,0.7467105263157895,0.5333552631578947,0.5422462406015037
68,8,7,glmnet,rec_active,0.7182320441988951,0.6639344262295082,0.7217763509898342,0.6928553886096711,0.7443272022384197
69,9,7,glmnet,rec_active,0.7532467532467533,0.3619047619047619,0.7740628166160081,0.567983789260385,0.6853524388478796
70,10,7,glmnet,rec_active,0.9043397106859544,0.3764705882352941,0.9261418853255587,0.6513062367804264,0.7222889155662264
71,1,8,glmnet,rec_active,0.7736842105263158,0.30612244897959184,0.7849093581577657,0.5455159035686787,0.5609595136437721
72,2,8,glmnet,rec_active,0.5955056179775281,0.6046511627906976,0.5951219512195122,0.5998865570051048,0.6166874645490641
73,3,8,glmnet,rec_active,0.6743185078909613,0.5793103448275863,0.6813977389516958,0.630354041889641,0.6659956763653117
74,4,8,glmnet,rec_active,0.6982335623159961,0.5581395348837209,0.7077003666841278,0.6329199507839244,0.7248204141134812
75,5,8,glmnet,rec_active,0.6431187859759289,0.5595238095238095,0.6558167570825799,0.6076702833031947,0.6721681640307319
76,6,8,glmnet,rec_active,0.767292490118577,0.35344827586206895,0.7924528301886793,0.5729505530253741,0.5849847285476758
77,7,8,glmnet,rec_active,0.8648780487804878,0.10606060606060606,0.8901209677419355,0.4980907869012708,0.42371548142717497
78,8,8,glmnet,rec_active,0.7761400276370336,0.2698412698412698,0.7912713472485768,0.5305563085449233,0.5890635824222162
79,9,8,glmnet,rec_active,0.8371978293043907,0.42105263157894735,0.8534085084572014,0.6372305700180744,0.7472213979335833
80,10,8,glmnet,rec_active,0.7061704211557297,0.425531914893617,0.7127819548872181,0.5691569348904175,0.4941236068895643
81,1,9,glmnet,rec_active,0.7570480928689884,0.06557377049180328,0.7749893662271374,0.42028156835947034,0.42241878238071
82,2,9,glmnet,rec_active,0.60431654676259,0.5882352941176471,0.6053639846743295,0.5967996393959882,0.6148160413590724
